PID;ExterCond;ExterQual;HeatingQC;KitchenQual;MSZoning;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;Foundation;Heating;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;Kitchen;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;Fence;MSSubClass;GrLivArea;FullBath;HalfBath;Bedroom;SaleType;SaleCondition;SalePrice;MoSold;YrSold;GarageCond;GarageType;GarageYrBlt;GarageCars;GarageQual;GarageFinish;GarageArea;BsmtUnfSF;BsmtCond;BsmtHalfBath;BsmtFinType1;BsmtFinType2;TotalBsmtSF;BsmtExposure;BsmtFullBath;BsmtQual;BsmtFinSF2;BsmtFinSF1;MiscFeature;MiscVal;PoolQC;PoolArea;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd
526352080;3;3;3;3;6;Gable  ;CompShg;MetalSd;MetalSd;BrkFace;302;CBlock;GasA ;Y;SBrkr;1587;0;0;1;7;Typ ;1;Gd;Y;0;44;0;0;0;NA   ;20;1587,0;2.0;0.0;3.0;WD   ;Normal ;167300;3;2007;TA;Attchd;1971;2;TA;Unf;525;749;TA;0;BLQ;Unf;1587;No;0;TA;0;838;NA;;NA;;85;10667;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;6;1971;1971
526352090;2;3;3;3;6;Flat   ;Tar&Grv;Plywood;Plywood;None   ;0;CBlock;GasA ;Y;SBrkr;1277;0;0;1;5;Typ ;1;Po;Y;0;0;0;0;176;GdWo ;20;1277,0;1.0;0.0;2.0;WD   ;Normal ;167000;4;2007;TA;Attchd;1970;2;TA;Unf;526;499;Gd;0;GLQ;Unf;1277;Gd;1;TA;0;778;NA;;NA;;85;10628;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;5;1970;1970
526353030;3;2;1;1;6;Hip    ;CompShg;BrkFace;BrkFace;None   ;0;CBlock;GasA ;Y;SBrkr;2110;0;0;1;8;Typ ;2;TA;Y;0;0;0;0;0;NA   ;20;2110,0;2.0;1.0;3.0;WD   ;Normal ;244000;4;2010;TA;Attchd;1968;2;TA;Fin;522;1045;TA;0;ALQ;Unf;2110;No;1;TA;0;1065;NA;;NA;;93;11160;Pave;NA  ;Regular             ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;5;1968;1968
526353050;3;3;1;3;6;Gable  ;CompShg;BrkFace;Plywood;None   ;0;CBlock;GasA ;Y;SBrkr;2117;0;0;1;7;Typ ;2;Gd;Y;0;42;0;0;0;NA   ;20;2117,0;2.0;1.0;4.0;WD   ;Normal ;237500;5;2008;TA;Attchd;1970;2;TA;Fin;550;340;TA;0;BLQ;Unf;1205;Mn;0;TA;0;865;NA;;NA;;;12925;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;6;7;1970;1970
526354020;2;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;434;CBlock;GasA ;Y;SBrkr;1851;0;0;1;8;Typ ;1;TA;Y;0;146;0;0;0;NA   ;20;1851,0;2.0;0.0;3.0;WD   ;Normal ;192100;3;2006;TA;Attchd;1969;2;TA;Fin;506;1851;TA;0;Unf;Unf;1851;Mn;0;TA;0;0;NA;;NA;;90;11727;Pave;NA  ;Regular             ;Lvl;AllPub;Corner ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;6;1969;1969
526354070;3;3;3;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;CBlock;GasA ;Y;SBrkr;1092;1020;0;1;9;Typ ;2;Gd;Y;280;0;0;0;0;NA   ;60;2112,0;2.0;1.0;4.0;WD   ;Normal ;206900;6;2008;TA;Attchd;1969;2;TA;Unf;576;176;TA;0;ALQ;LwQ;952;Mn;0;Fa;276;500;NA;;NA;;85;11075;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;2Story;6;5;1969;1969
526355080;3;2;2;1;6;Gable  ;CompShg;Plywood;Wd Sdng;None   ;0;CBlock;GasA ;Y;SBrkr;2000;704;0;1;9;Typ ;3;TA;Y;269;111;0;0;0;MnPrv;80;2704,0;2.0;1.0;4.0;WD   ;Normal ;345000;7;2009;TA;Attchd;1972;2;TA;Fin;538;542;TA;0;GLQ;Unf;1952;Gd;1;Gd;0;1410;NA;;NA;;75;13860;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;SLvl  ;8;7;1972;1995
526355170;2;3;1;3;6;Gable  ;CompShg;Plywood;Plywood;BrkFace;1115;CBlock;GasA ;Y;SBrkr;2223;0;0;1;8;Typ ;2;Gd;Y;300;0;0;0;0;NA   ;20;2223,0;2.0;0.0;3.0;WD   ;Normal ;244000;2;2007;TA;Attchd;1973;2;TA;Fin;516;343;TA;0;ALQ;Unf;2223;Gd;1;Gd;0;1880;NA;;NA;;95;13651;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;7;6;1973;1973
526355190;2;2;1;2;6;Flat   ;Tar&Grv;Wd Sdng;Wd Sdng;None   ;0;PConc ;GasA ;Y;SBrkr;2217;0;0;1;8;Typ ;1;TA;Y;81;207;0;0;224;NA   ;20;2217,0;2.0;0.0;4.0;WD   ;Normal ;268000;10;2007;TA;Attchd;1970;2;TA;Unf;621;1043;Gd;0;ALQ;Rec;2217;Gd;1;TA;823;351;NA;;NA;;95;15865;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Mod;North Ames         ;Norm                          ;Normal;1Fam  ;1Story;8;6;1970;1970
527105010;3;3;2;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;928;701;0;1;6;Typ ;1;TA;Y;212;34;0;0;0;MnPrv;60;1629,0;2.0;1.0;3.0;WD   ;Normal ;189900;3;2010;TA;Attchd;1997;2;TA;Fin;482;137;TA;0;GLQ;Unf;928;No;0;Gd;0;791;NA;;NA;;74;13830;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;5;5;1997;1998
527105030;3;3;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;20;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;1;Gd;Y;360;36;0;0;0;NA   ;60;1604,0;2.0;1.0;3.0;WD   ;Normal ;195500;6;2010;TA;Attchd;1998;2;TA;Fin;470;324;TA;0;GLQ;Unf;926;No;0;TA;0;602;NA;;NA;;78;9978;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;6;1998;1998
527105050;3;3;1;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;1;TA;Y;0;36;0;0;0;NA   ;60;1604,0;2.0;1.0;3.0;WD   ;Normal ;187500;4;2008;TA;Attchd;1997;2;TA;Fin;470;220;TA;0;BLQ;Unf;926;No;0;TA;0;706;NA;;NA;;72;8702;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;1998
527105060;3;3;1;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;813;712;0;1;6;Typ ;1;TA;Y;421;72;0;0;0;NA   ;60;1525,0;2.0;1.0;3.0;WD   ;Normal ;183500;5;2006;TA;Attchd;1997;2;TA;Fin;400;113;TA;0;GLQ;Unf;813;No;1;TA;0;700;NA;;NA;;60;8238;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;1998
527105070;3;3;1;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;945;663;0;1;7;Typ ;1;TA;Y;252;30;0;0;0;NA   ;60;1608,0;2.0;1.0;3.0;WD   ;Normal ;189500;7;2009;TA;Attchd;1997;2;TA;Fin;470;98;TA;0;ALQ;Unf;945;No;0;Gd;0;847;NA;;NA;;88;10179;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;1997
527105130;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;188;PConc ;GasA ;Y;SBrkr;1008;1275;0;1;9;Typ ;1;Gd;Y;120;46;0;0;0;NA   ;60;2283,0;2.0;1.0;4.0;WD   ;Normal ;270000;8;2009;TA;BuiltIn;2003;3;TA;Fin;632;158;TA;0;GLQ;Unf;1008;Gd;0;Gd;0;850;NA;;NA;;;11792;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;8;5;2003;2003
527105140;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;847;886;0;1;7;Typ ;1;Gd;Y;100;48;0;0;0;NA   ;60;1733,0;2.0;1.0;3.0;WD   ;Family ;225000;10;2007;TA;BuiltIn;2003;2;TA;Fin;433;847;TA;0;Unf;Unf;847;Gd;0;Gd;0;0;NA;;NA;;;12394;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;2003;2003
527106010;3;3;2;2;6;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;285;PConc ;GasA ;Y;SBrkr;993;1243;0;1;8;Typ ;1;TA;Y;0;0;0;0;0;NA   ;60;2236,0;2.0;1.0;4.0;WD   ;Normal ;222000;11;2006;TA;BuiltIn;1997;2;TA;Fin;642;964;TA;0;Unf;Unf;964;No;0;Gd;0;0;NA;;NA;;;13006;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;1997;1997
527106050;3;3;2;3;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;119;PConc ;GasA ;Y;SBrkr;680;790;0;1;7;Typ ;1;TA;Y;192;49;0;0;0;NA   ;60;1470,0;2.0;1.0;3.0;WD   ;Normal ;165000;10;2008;TA;BuiltIn;1995;2;TA;Fin;420;204;TA;0;ALQ;Unf;680;No;0;Gd;0;476;NA;;NA;;65;8139;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1995;1996
527106140;3;3;1;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;926;678;0;1;7;Typ ;0;NA;Y;100;82;0;0;0;NA   ;60;1604,0;2.0;1.0;3.0;WD   ;Normal ;195500;5;2008;TA;Attchd;1998;2;TA;Fin;472;75;TA;0;GLQ;Unf;926;Gd;0;Gd;0;851;NA;;NA;;59;9535;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;1998
527106150;3;3;2;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;943;695;0;1;7;Typ ;2;TA;Y;100;38;0;0;0;NA   ;60;1638,0;2.0;1.0;3.0;WD   ;Normal ;192000;7;2008;TA;Attchd;1998;2;TA;Fin;472;115;TA;0;GLQ;Unf;943;Gd;1;Gd;0;828;NA;;NA;;59;9042;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1998;1998
527107010;3;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;916;720;0;1;7;Typ ;1;TA;Y;168;84;0;0;0;NA   ;60;1636,0;2.0;1.0;3.0;WD   ;Normal ;173000;11;2008;TA;Attchd;1996;2;TA;Fin;386;778;TA;0;Rec;Unf;916;No;0;Gd;0;138;NA;;NA;;;15038;Pave;NA  ;Moderately Irregular;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1996;1996
527107020;3;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;781;890;0;1;7;Typ ;1;TA;Y;0;84;0;0;0;NA   ;60;1671,0;2.0;1.0;3.0;WD   ;Normal ;170000;2;2006;TA;Attchd;1995;2;TA;Fin;423;781;TA;0;Unf;Unf;781;No;0;Gd;0;0;NA;;NA;;;13041;Pave;NA  ;Moderately Irregular;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1995;1995
527107030;3;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;691;807;0;1;6;Typ ;1;TA;Y;315;44;0;0;0;NA   ;60;1498,0;2.0;1.0;3.0;WD   ;Normal ;187500;7;2006;TA;Attchd;1995;2;TA;Fin;409;99;TA;0;ALQ;Unf;691;No;0;Gd;0;592;NA;;NA;;;13031;Pave;NA  ;Moderately Irregular;Lvl;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1995;1996
527107040;3;3;2;3;6;Gable  ;CompShg;MetalSd;MetalSd;None   ;0;PConc ;GasA ;Y;SBrkr;806;766;0;1;7;Typ ;1;TA;Y;0;40;0;0;0;NA   ;60;1572,0;2.0;1.0;3.0;WD   ;Normal ;168000;5;2007;TA;BuiltIn;1995;2;TA;Fin;373;806;TA;0;Unf;Unf;806;No;0;Gd;0;0;NA;;NA;;;10364;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1995;1996
527107090;3;2;2;2;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;1384;0;0;1;7;Typ ;0;NA;Y;0;39;0;0;0;NA   ;20;1384,0;2.0;0.0;3.0;WD   ;Normal ;177900;11;2008;TA;Attchd;1996;2;TA;Unf;404;898;TA;0;GLQ;Unf;1348;No;1;Gd;0;450;NA;;NA;;53;14137;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;1Story;5;5;1996;1997
527107120;3;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;821;955;0;1;7;Typ ;1;TA;Y;286;116;0;0;0;NA   ;60;1776,0;2.0;1.0;3.0;WD   ;Normal ;202000;5;2006;TA;BuiltIn;1996;2;TA;Fin;443;821;TA;0;Unf;Unf;821;No;0;Gd;0;0;NA;;NA;;54;9783;Pave;NA  ;Slightly irregular  ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1996;1996
527107130;3;3;2;3;6;Gable  ;CompShg;HdBoard;HdBoard;BrkFace;32;PConc ;GasA ;Y;SBrkr;958;670;0;1;7;Typ ;1;TA;Y;48;72;0;0;0;NA   ;80;1628,0;2.0;1.0;3.0;WD   ;Normal ;189000;6;2009;TA;BuiltIn;1996;2;TA;Fin;390;100;TA;0;GLQ;Unf;384;No;0;Gd;0;284;Shed;490;NA;;60;8400;Pave;NA  ;Regular             ;Lvl;AllPub;Inside ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;SLvl  ;7;5;1996;1997
527107210;3;3;1;3;6;Gable  ;CompShg;HdBoard;HdBoard;None   ;0;PConc ;GasA ;Y;SBrkr;729;717;0;1;6;Typ ;1;TA;Y;264;22;0;0;0;NA   ;60;1446,0;2.0;1.0;3.0;WD   ;Normal ;175000;8;2008;TA;Attchd;1996;2;TA;Unf;406;125;TA;1;GLQ;Unf;729;Gd;0;Gd;0;604;NA;;NA;;57;21872;Pave;NA  ;Moderately Irregular;HLS;AllPub;FR2    ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;1996;1997
527107240;3;3;2;3;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;802;709;0;1;8;Typ ;1;TA;Y;95;75;0;0;0;NA   ;60;1511,0;2.0;1.0;3.0;WD   ;Normal ;185000;6;2006;TA;Attchd;1997;2;TA;Fin;413;88;TA;0;GLQ;Unf;802;Av;1;Gd;0;714;NA;;NA;;70;11207;Pave;NA  ;Slightly irregular  ;HLS;AllPub;FR2    ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;6;5;1997;1997
527108010;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;456;PConc ;GasA ;Y;SBrkr;1392;1070;0;1;9;Typ ;1;Gd;Y;239;132;0;168;0;NA   ;60;2462,0;2.0;1.0;4.0;New  ;Partial;320000;3;2006;TA;Attchd;2006;2;TA;RFn;576;1335;TA;0;GLQ;Unf;1392;Mn;1;Gd;0;57;NA;;NA;;134;19378;Pave;NA  ;Slightly irregular  ;HLS;AllPub;Corner ;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;2005;2006
527108020;3;2;1;2;6;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;27;PConc ;GasA ;Y;SBrkr;1670;0;0;1;7;Typ ;1;Gd;Y;144;60;0;0;0;NA   ;20;1670,0;2.0;0.0;3.0;New  ;Partial;240000;8;2006;TA;Attchd;2006;3;TA;RFn;690;1670;TA;0;Unf;Unf;1670;No;0;Gd;0;0;NA;;NA;;50;14859;Pave;NA  ;Slightly irregular  ;HLS;AllPub;CulDSac;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;1Story;7;5;2006;2006
527108030;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;216;PConc ;GasA ;Y;SBrkr;1074;990;0;1;7;Typ ;1;Gd;Y;0;119;0;0;0;NA   ;60;2064,0;2.0;1.0;4.0;WD   ;Normal ;250000;1;2006;TA;Attchd;2005;2;TA;Fin;527;1074;TA;0;Unf;Unf;1074;No;0;Gd;0;0;NA;;NA;;50;13128;Pave;NA  ;Slightly irregular  ;HLS;AllPub;CulDSac;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;8;5;2005;2005
527108040;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;None   ;0;PConc ;GasA ;Y;SBrkr;901;900;0;1;8;Typ ;1;Gd;Y;0;116;0;0;0;NA   ;60;1801,0;2.0;1.0;3.0;WD   ;Normal ;239900;6;2006;TA;Attchd;2005;3;TA;Fin;800;893;TA;0;Unf;Unf;893;No;0;Gd;0;0;NA;;NA;;72;10463;Pave;NA  ;Slightly irregular  ;HLS;AllPub;CulDSac;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;8;5;2005;2005
527108060;3;2;1;2;6;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;248;PConc ;GasA ;Y;SBrkr;1700;512;0;1;9;Typ ;1;Gd;Y;237;38;0;0;115;NA   ;60;2212,0;2.0;1.0;3.0;New  ;Partial;309000;5;2006;TA;Attchd;2006;3;TA;Fin;773;1640;TA;0;GLQ;Unf;1700;Av;1;Gd;0;60;NA;;NA;;42;13751;Pave;NA  ;Slightly irregular  ;HLS;AllPub;CulDSac;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;2Story;7;5;2005;2006
527108070;3;1;1;1;6;Gable  ;CompShg;VinylSd;VinylSd;Stone  ;160;PConc ;GasA ;Y;SBrkr;1746;0;0;1;7;Typ ;2;Gd;Y;201;39;0;0;0;NA   ;20;1746,0;2.0;0.0;3.0;WD   ;Normal ;377500;10;2009;TA;Attchd;2006;3;TA;Fin;758;426;TA;0;GLQ;Unf;1746;Gd;1;Ex;0;1320;NA;;NA;;42;14892;Pave;NA  ;Slightly irregular  ;HLS;AllPub;CulDSac;Gtl;Gilbert            ;Norm                          ;Normal;1Fam  ;1Story;9;5;2006;2007
